Publisher Name,Publisher Registry Id,Contacts (with valid data),Location Details (with valid data),Geographic Coordinates (with valid data),DAC Sectors (with valid data),Capital Spend (with valid data),Activity Documents (with valid data),Aid Type (with valid data),Recipient Language (with valid data),Result/ Indicator (with valid data),Average (with valid data),Contacts (with any data),Location Details (with any data),Geographic Coordinates (with any data),DAC Sectors (with any data),Capital Spend (with any data),Activity Documents (with any data),Aid Type (with any data),Recipient Language (with any data),Result/ Indicator (with any data),Average (with any data)
Clinton Health Access Initiative,chai,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
CNV Internationaal,nl-kvk-54436222-27541,100,0,0,100,0,30,100,0,97,47,100,0,0,100,0,30,100,0,97,47
Coalition for Epidemic Preparedness Innovations,cepi,100,0,0,100,0,100,100,-,0,44,100,0,0,100,0,100,100,-,0,44
COC Nederland,cocnl_publisher,0,0,0,100,0,62,100,0,77,38,0,0,0,100,0,62,100,0,77,38
CODA International,coda,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Coffey International Development,coffey,26,3,3,100,0,6,45,57,0,27,26,3,3,100,0,6,45,57,0,27
ColaLife,colalife,100,0,0,100,0,0,100,100,0,44,100,0,0,100,0,0,100,100,0,44
Collectif Stratégies Alimentaires,csa,86,57,57,100,0,14,100,100,57,63,86,57,57,100,0,14,100,100,57,63
Comité pour l'abolition des dettes illégitimes,cadtm,100,75,75,100,0,25,100,100,50,69,100,75,75,100,0,25,100,100,50,69
COMMISSION JUSTICE ET PAIX ASBL (cjp),cjp,100,33,33,100,0,33,100,100,33,59,100,33,33,100,0,33,100,100,33,59
Commune de Adja-Ouere - Bénin,adja-ouere,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Adjarra - Bénin,adjarra,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Adjohoun - Bénin,adjohoun,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Akpro-Missérété - Bénin,akpro-misserete,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Allada - Bénin,allada,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Aplahoué - Bénin,aplahoue,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Avrankou - Bénin,avrankou,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Bopa - Bénin,bopa,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Comè - Bénin,come,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Dangbo - Benin,dangbo,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Ifangni - Bénin,ifangni,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Klouékanmè - Bénin,klouekanme,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Kpomassè - Bénin,kpomasse,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Kétou - Bénin,ketou,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Lalo - Bénin,lalo,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Parakou - Bénin,parakou,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Pobè - Bénin,pobe,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Toffo - Bénin,toffo,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Toviklin - Bénin,toviklin,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Commune de Zè - Bénin,ze,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Concern Worldwide,concern_worldwide,100,0,0,100,0,0,100,46,35,42,100,0,0,100,0,0,100,46,35,42
Concern Worldwide UK,concernuk,100,0,0,100,0,0,100,46,35,42,100,0,0,100,0,0,100,46,35,42
Conciliation Resources,cr,0,0,0,100,0,25,25,100,25,31,0,0,0,100,0,25,25,100,25,31
Concordis International,concordis,0,50,50,100,0,0,0,0,0,22,0,50,50,100,0,0,0,0,0,22
Conflict Dynamics International,cdi,100,0,0,100,0,0,100,0,100,44,100,0,0,100,0,0,100,0,100,44
"Conflict, Stability and Security Fund",cssf,100,0,0,100,0,100,100,0,0,44,100,0,0,100,0,100,100,0,0,44
Congodorpen vzw,congodorpen,80,60,60,100,0,20,100,100,60,64,80,60,60,100,0,20,100,100,60,64
Consortium for Street Children,csc,0,0,0,100,0,0,100,100,0,33,0,0,0,100,0,0,100,100,0,33
Construction Sector Transparency Initiative (CoST),cost_uk,0,0,0,100,0,0,0,88,0,21,0,0,0,100,0,0,0,88,0,21
Coopération par l'Education et la Culture,cec,100,67,67,100,0,33,100,100,67,70,100,67,67,100,0,33,100,100,67,70
Cord,cord,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Cordaid,cordaid,96,89,32,98,0,6,100,24,89,59,96,89,32,98,0,6,100,24,89,59
Cowater International Inc,cowater,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
COWI,cowi,100,67,67,100,0,67,100,100,67,74,100,67,67,100,0,67,100,100,67,74
CRANE,crane,100,0,0,100,0,0,0,-,0,22,100,0,0,100,0,0,0,-,0,22
CREA,creausa-org,100,0,0,100,0,7,100,-,87,44,100,0,0,100,0,7,100,-,87,44
Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL,crb-ai_admin,100,83,83,100,0,8,100,100,83,73,100,83,83,100,0,8,100,100,83,73
Cross-Government Prosperity Fund,prosperityfund,100,0,0,100,0,100,100,0,0,44,100,0,0,100,0,100,100,0,0,44
Crown Agents Limited,cal,71,14,14,100,0,86,57,33,0,42,71,14,14,100,0,86,57,33,0,42
CUAMM Trustees,cuammtrustees,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Cyan International,cyan,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
D. Capital Partners,dcapitalpartners,100,0,0,100,0,0,100,100,0,44,100,0,0,100,0,0,100,100,0,44
DAI Europe,dai-e,0,26,0,100,0,16,100,67,0,34,0,26,0,100,0,16,100,67,0,34
DAI Global Health,healthpartners-international,0,0,0,100,0,0,0,50,0,17,0,0,0,100,0,0,0,50,0,17
Damiaanactie / Action Damien,damien-foundation,88,75,75,100,0,13,100,83,75,68,88,75,75,100,0,13,100,83,75,68
dance4life,dance4life,25,0,0,100,0,0,100,67,75,41,25,0,0,100,0,0,100,67,75,41
DanChurchAid,dca,100,0,0,100,0,40,100,29,60,48,100,0,0,100,0,40,100,29,60,48
Danish Family Planning Association,dfpa,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Danish Red Cross,danishrc,0,0,0,100,0,0,25,-,0,14,0,0,0,100,0,0,25,-,0,14
Danish Refugee Council,drc,75,13,13,100,0,56,94,56,31,49,75,13,13,100,0,56,94,56,31,49
Danish Trade Union Development Agency (Ulandssekretariatet),loftf,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Danmission,danmission,0,0,0,100,0,0,6,27,0,15,0,0,0,100,0,0,6,27,0,15
Dansk Missionråds Udviklingsafdeling,dmru,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Data4Development,d4d,100,0,0,100,0,0,100,0,100,44,100,0,0,100,0,0,100,0,100,44
David Gordon Memorial Hospital,dgmh,100,100,100,0,0,0,100,100,0,56,100,100,100,0,0,0,100,100,0,56
Dawuro Development Association,dawuro_da,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
DeafKidz International,dki1151219,0,0,0,100,0,100,0,100,0,33,0,0,0,100,0,100,0,100,0,33
DECP,decp,100,0,0,100,0,100,100,38,23,51,100,0,0,100,0,100,100,38,23,51
Defence for Children International Netherlands - ECPAT Netherlands,dciecpatnl,100,0,0,100,0,0,100,50,100,50,100,0,0,100,0,0,100,50,100,50
Delivery Associates Ltd,delivery_associates,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Deloitte Touche Tohmatsu India LLP,dttillp,100,0,0,0,0,0,0,100,0,22,100,0,0,0,0,0,0,100,0,22
Democracy Reporting International gGmbH,dri,100,0,0,100,0,100,100,0,100,56,100,0,0,100,0,100,100,0,100,56
Democratic Governance Facility,dgf,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
"Denmark - Ministry of Foreign Affairs, Danida",danida,100,0,0,93,0,0,100,29,14,37,100,0,0,93,0,0,100,29,14,37
Department for International Trade,dit,100,100,100,100,0,100,100,-,0,67,100,100,100,100,0,100,100,-,0,67
Desmond Tutu HIV Foundation,dthfxx12,0,0,0,0,0,0,100,100,0,22,0,0,0,100,0,0,100,100,0,33
Development Aid from People to People (DAPP) Malawi,dapp,75,25,0,0,0,75,100,67,25,41,75,25,0,0,0,75,100,67,25,41
Development Initiatives Poverty Research,dipr,100,94,0,78,0,6,3,4,3,32,100,94,94,100,0,100,3,4,3,55
Development Media International,dmi_admin,100,0,0,100,0,0,0,-,0,22,100,0,0,100,0,0,0,-,0,22
Development Organisation of the Rural Poor,dorp-org,100,0,0,100,0,0,100,0,100,44,100,0,0,100,0,0,100,0,100,44
Developments In Literacy Trust UK,diltuk,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Diakonia Sweden,diakonia802017-3517,0,0,0,100,0,0,100,0,100,33,0,0,0,100,0,0,100,0,100,33
Digital Campus,dc,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Direcção Provincial de Saúde de Nampula,dps-nampula,0,0,0,100,0,100,0,100,0,33,0,0,0,100,0,100,0,100,0,33
Disability and Development Partners,ddp,0,0,0,67,0,67,0,0,0,15,0,0,0,67,0,67,0,0,0,15
Disability Rights Advocacy Fund,draf,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Disability Rights Fund,drf,100,0,0,100,0,100,100,-,0,44,100,0,0,100,0,100,100,-,0,44
Disabled People's Organisations Denmark,dpod,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Disasters Emergency Committee,dec-uk,100,0,0,100,0,67,100,25,0,44,100,0,0,100,0,67,100,25,0,44
"Discovery Learning Alliance, Inc.",dla,100,0,0,100,0,0,0,-,0,22,100,0,0,100,0,0,0,-,0,22
Djapo,djapo,100,100,33,100,0,33,100,100,33,67,100,100,33,100,0,33,100,100,33,67
DKT - (Pakistan),dkt,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
DKT Ethiopia,dkt_ethiopia,0,18,0,100,0,0,27,0,91,26,0,18,0,100,0,0,27,0,91,26
DNH Mali (Direction Nationale de l’Hydraulique du Mali),pca-gire,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Doctors of the World UK,dotw_uk,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Doctors with Africa CUAMM,cuamm,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Dorcas Aid International,dai,100,64,45,100,0,27,100,20,64,58,100,64,45,100,0,27,100,20,64,58
Drugs for Neglected Diseases initiative,dndi_transparency,0,0,0,0,0,77,100,-,0,20,0,0,0,0,0,77,100,-,0,20
DUF - The Danish Youth Council,duf,0,0,0,100,0,0,50,-,0,17,0,0,0,100,0,0,50,-,0,17
Dynamo International asbl,dynamo_international,100,33,33,100,0,33,100,100,33,59,100,33,33,100,0,33,100,100,33,59
Défi Belgique Afrique,dba,100,25,25,100,0,25,100,100,50,58,100,25,25,100,0,25,100,100,50,58
Dóchas - Irish Association of Non Governmental Development Organisations,dochas,95,0,0,100,0,0,0,100,0,33,95,0,0,100,0,0,0,100,0,33
ECDPM,ecdpm,5,0,0,100,0,5,5,-,95,23,5,0,0,100,0,5,5,-,95,23
Echos Communication,ec,29,43,43,100,0,14,100,60,71,51,29,43,43,100,0,14,100,60,71,51
Eclosio,eclosio,100,45,45,100,0,9,100,89,82,63,100,45,45,100,0,9,100,89,82,63
Economic and Social Research Foundation (ESRF),esrf,100,0,0,0,0,100,0,100,0,33,100,0,0,0,0,100,0,100,0,33
Ecorys Nederland B.V.,ecorysnl,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Ecorys UK,ecuk,50,0,0,100,0,100,50,67,0,41,50,0,0,100,0,100,50,67,0,41
Educate!,educate,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Education Development Trust,edt_kenya,100,50,50,50,0,50,0,100,0,44,100,50,50,50,0,50,0,100,0,44
EDUCATION DEVELOPMENT TRUST - RWANDA,edt_rwanda,100,0,0,0,0,0,0,100,0,22,100,0,0,0,0,0,0,100,0,22
Edukans Foundation,edukans_foundation,0,2,0,68,0,0,73,0,10,17,0,2,0,68,0,0,73,0,10,17
Emissa,emissa,0,44,44,100,0,0,0,0,0,21,0,44,44,100,0,0,0,0,0,21
Emmanuel International UK,eiuk,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
EMMS International,emms,75,63,63,75,0,44,100,94,44,62,75,63,63,75,0,44,100,94,44,62
Energy 4 Impact,e4i,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0
Energy Saving Trust,energy_saving_trust,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Enfance Tiers Monde Kinderen Derde Wereld,etmkdw,100,67,67,100,0,17,100,75,67,66,100,67,67,100,0,17,100,75,67,66
EngenderHealth Ethiopia,engenderhealth_eth,0,13,0,75,0,38,0,0,0,14,0,13,0,75,0,38,0,0,0,14
Engineers Without Borders Canada,ewb_canada,100,25,0,0,0,0,0,67,0,21,100,25,0,25,0,0,0,67,0,24
Enhanced Integrated Framework,eif,0,0,0,100,0,0,0,43,0,16,0,0,0,100,0,0,0,43,0,16
Entraide et Fraternité,ef_,100,77,69,100,0,92,100,70,77,76,100,77,77,100,0,92,100,70,77,77
Environmental Centre for Oil Spills and Gas Flaring (NACGOND),nacgond-,100,0,0,83,0,0,0,100,100,43,100,0,0,83,0,0,0,100,100,43
equileap,equileap,100,100,0,100,0,100,100,-,100,67,100,100,0,100,0,100,100,-,100,67
Ethical Trading Initiative,eti,0,0,0,0,0,0,0,100,0,11,0,0,0,100,0,0,0,100,0,22
Ethiopiaid UK,ethiopiaiduk,0,3,0,100,0,0,71,0,0,19,0,3,0,100,0,0,71,0,0,19
Ethiopian Horticulture Producer Exporters Association (EHPEA),ehpea,100,100,100,100,0,0,100,0,100,67,100,100,100,100,0,0,100,0,100,67
European Bank for Reconstruction and Development,ebrd,100,100,0,100,0,100,100,0,0,56,100,100,100,100,0,100,100,0,0,67
European Commission - Directorate-General for International Cooperation and Development,ec-devco,100,100,80,96,100,28,100,33,1,71,100,100,82,100,100,28,100,33,1,72
European Commission - Humanitarian Aid & Civil Protection,ec-echo,100,99,0,97,100,100,100,22,0,69,100,99,0,98,100,100,100,22,0,69
European Commission - Neighbourhood and Enlargement Negotiations,ec-near,100,100,85,99,100,36,100,0,2,69,100,100,85,100,100,36,100,0,2,69
European Commission - Service for Foreign Policy Instruments,ec-fpi,100,100,85,100,100,16,100,25,0,70,100,100,85,100,100,16,100,25,0,70
European Institute of Peace,eip,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
European Investment Bank,eib,0,0,0,0,0,100,100,13,0,24,0,0,0,0,0,100,100,13,0,24
European Journalism Centre,ejc,10,0,0,100,0,0,100,50,90,39,10,0,0,100,0,0,100,50,90,39
EveryChild,evc,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Excellent Development,excellent,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Exeter Ethiopia Link,eel,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Fair Wear Foundation,fwf,0,0,0,100,0,0,82,22,100,34,0,0,0,100,0,0,82,22,100,34
Fairfood International,fairfood,0,0,0,0,0,0,100,0,100,22,0,0,0,100,0,0,100,0,100,33
Fairtrade Belgium,fairtrade_be,75,50,25,100,0,25,100,100,50,58,75,50,25,100,0,25,100,100,50,58
Fairtrade Labelling Organizations International e.V.,fairtrade_international,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Faith to Action Network,f2a,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Family Aids Caring Trust,fact,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
Family Counseling and Development Foundation,fcdf,100,100,100,100,0,0,100,0,100,67,100,100,100,100,0,0,100,0,100,67
Family Guidance Association of Ethiopia,fgae_ethiopia,100,25,0,100,0,0,0,0,0,25,100,25,0,100,0,0,0,0,0,25
Family Life Education Program,flepuganda,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Farm Africa,fa,100,0,0,60,0,80,100,50,0,43,100,0,0,80,0,80,100,50,0,46
Farm Concern International,fci,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
Fauna & Flora International,ffi_publisher,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Federation of Women Lawyers Kenya,fida,100,0,0,100,0,0,100,100,0,44,100,0,0,100,0,0,100,100,0,44
Feed the Minds,ftm-291333,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
FHI360,fhi360,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Fiabel,fiabel,100,67,67,100,0,17,100,100,67,69,100,67,67,100,0,17,100,100,67,69
FIAN Belgium,fian-belgium,100,0,0,100,0,20,100,100,60,53,100,0,0,100,0,20,100,100,60,53
Find Your Feet,fyf,100,0,0,100,0,100,100,67,0,52,100,0,0,100,0,100,100,67,0,52
Finland - Ministry for Foreign Affairs,finland_mfa,0,1,0,99,92,0,92,25,0,34,0,1,0,100,92,0,92,25,0,34
FMO,fmo,100,0,0,0,0,0,95,0,0,22,100,0,0,0,0,0,96,0,0,22
FONCABA ASBL KBA VZW,foncaba,100,40,40,100,0,20,100,100,60,62,100,40,40,100,0,20,100,100,60,62
Fondation Hirondelle,fh_ch,100,0,0,100,0,100,100,0,0,44,100,0,0,100,0,100,100,0,0,44
Fondo Centroamericano de Mujeres,fcam,100,0,0,100,0,17,100,-,83,44,100,0,0,100,0,17,100,-,83,44
Fonds voor Ontwikkelingssamenwerking - Socialistische Solidariteit VZW,fos,100,80,80,100,0,7,100,62,87,68,100,80,80,100,0,7,100,62,87,68
Food and Agriculture Organization of the United Nations (FAO),fao,100,0,0,96,0,0,100,55,0,39,100,0,0,96,0,0,100,55,0,39
Food for the Hungry UK,fh,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
Forests Monitor,fm,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL,fucid,100,67,67,100,0,17,100,100,67,69,100,67,67,100,0,17,100,100,67,69
France - Ministry for Europe and Foreign Affairs,france,0,67,67,100,0,0,100,49,0,43,0,67,67,100,0,0,100,49,0,43
FRANK Water,frankwater,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Free a Girl,freeagirl,100,0,0,100,0,0,100,25,75,44,100,0,0,100,0,0,100,25,75,44
Free Press Unlimited,free_press_unlimited,92,0,0,100,0,36,24,27,76,39,92,0,0,100,0,36,24,27,76,39
Freedom Forum,ff,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,6
Friends of Kipkelion,kipkelion,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Friends of Publish What You Fund,friendsofpwyf,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
"Friends of the Earth England, Wales and Northern Ireland",foe_ewni,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Friends of the Earth International,foei,33,0,0,100,0,0,100,-,100,37,33,0,0,100,0,0,100,-,100,37
Friends of the Earth-Ghana,foe-ghana,100,100,0,100,0,0,100,100,0,56,100,100,0,100,0,0,100,100,0,56
Frontline AIDS,f-aids,95,0,0,100,0,16,100,44,68,47,95,0,0,100,0,16,100,44,68,47
Fundacion Acceso,fundacion-acceso,100,0,0,100,0,100,100,-,100,56,100,0,0,100,0,100,100,-,100,56
Fundación Fondo Mujeres del Sur,fms,0,0,0,100,0,0,0,-,20,13,0,0,0,100,0,0,0,-,20,13
Fundación Oriéntame,orientame,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Fundo de Investimento e Patrimonio do Abastecimento de Água (FIPAG),fipag,100,0,0,100,0,0,0,100,100,44,100,0,0,100,0,0,0,100,100,44
"Gavi, the vaccine alliance",gavi,100,100,100,100,100,92,100,31,13,82,100,100,100,100,100,92,100,31,13,82
GEF Secretariat,gef,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
GEMS Education Solutions,mgcubed,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Gender Links,gl,58,0,0,0,0,8,83,-,0,17,58,0,0,33,0,8,83,-,0,20
Geneva Centre for the Democratic Control of Armed Forces (DCAF),dcaf,33,17,0,100,0,100,33,0,33,35,33,17,0,100,0,100,33,0,33,35
Geneva International Centre for Humanitarian Demining,gichd,100,0,0,100,0,0,0,0,100,33,100,0,0,100,0,0,0,0,100,33
GEOMOUN ASBL,geomoun,100,60,60,100,0,20,100,75,60,64,100,60,60,100,0,20,100,75,60,64
Germany - Federal Foreign Office,fo_germany,100,100,0,100,0,0,100,13,0,46,100,100,0,100,0,0,100,13,0,46
Germany - Ministry for Economic Cooperation and Development,bmz,100,0,0,100,0,52,94,-,0,38,100,0,0,100,0,72,94,-,0,41
Girls Not Brides: The Global Partnership to End Child Marriage,girlsnotbrides,100,0,0,100,0,100,100,100,100,67,100,0,0,100,0,100,100,100,100,67
Girls’ Education Challenge – Fund Manager PwC,gecfundmanagerpwc,67,0,0,100,0,67,67,100,0,45,67,0,0,100,0,67,67,100,0,45
Giro555 (Stichting Samenwerkende Hulporganisaties),giro555,0,0,0,100,0,0,100,0,0,22,0,0,0,100,0,0,100,0,0,22
GiveDirectly,givedirectly,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Global Action Nepal,gan,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Global Alliance for TB Drug Development,tb-a,100,0,0,0,0,100,0,-,0,22,100,0,0,0,0,100,0,-,0,22
Global Canopy,globalcanopy,100,0,0,100,0,0,100,-,100,44,100,0,0,100,0,0,100,-,100,44
Global Focus,globaltfokus,100,0,0,100,0,0,100,-,0,33,100,0,0,100,0,0,100,-,0,33
Global Fund to End Modern Slavery,gfems,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Global Green Growth Institute (GGGI),gggi,100,100,97,100,0,63,100,46,96,78,100,100,100,100,0,63,100,46,96,78
Global Innovation Fund,gif,0,0,0,100,0,14,0,73,0,21,0,0,0,100,0,14,0,73,0,21
Global Network of People Living with HIV (GNP+),gnpplus,0,0,0,100,0,0,0,38,0,15,0,0,0,100,0,0,0,38,0,15
Global Network of Sex Work Projects (NSWP),nswp,50,0,0,100,0,0,100,-,100,39,50,0,0,100,0,0,100,-,100,39
Global Partnership for Education,gpe,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,11
Global Rights Compliance,grc2018,100,0,0,100,0,8,100,25,0,37,100,0,0,100,0,8,100,25,0,37
GlobalGiving.org,globalgiving,0,0,0,0,0,100,100,60,0,29,0,0,0,0,0,100,100,60,0,29
GOAL,goal,17,0,0,100,0,33,83,100,0,37,17,0,0,100,0,33,83,100,0,37
GOGLA - Global Off-Grid Lighting Association,gogla,0,0,0,100,0,100,0,-,0,22,0,0,0,100,0,100,0,-,0,22
GPPAC Foundation,gppac,0,0,0,100,0,20,0,-,100,24,0,0,0,100,0,20,0,-,100,24
Groupe Pivot Santé Population,gpsp-org,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Grow Movement,growmovement_admin,0,0,0,50,0,0,100,100,0,28,0,0,0,100,0,0,100,100,0,33
Gulu University,guluuni,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Guttmacher Institute,guttmacher,100,0,0,100,0,0,100,-,100,44,100,0,0,100,0,0,100,-,100,44
Hagar International UK,hagar_uk,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Haiti Hospital Appeal,hha,100,100,100,100,0,100,0,0,0,56,100,100,100,100,0,100,0,0,0,56
Hand in Hand International,handinhand,100,0,0,0,0,0,0,0,0,11,100,0,0,0,0,0,0,0,0,11
Handicap International Belgique,hib,100,85,85,100,0,5,100,72,85,70,100,85,85,100,0,5,100,72,85,70
Handicap International Federation,hi_fed,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Handicap International UK,hiuk,17,8,8,100,0,25,100,57,8,36,17,8,8,100,0,25,100,57,8,36
HE Foundation,hefoundation,0,0,0,100,0,0,0,-,100,22,0,0,0,100,0,0,0,-,100,22
Health Insurance Fund,hif,100,0,0,100,0,50,0,0,50,33,100,0,0,100,0,50,0,0,50,33
Health Poverty Action,hpa,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
HealthNet TPO,healthnet,0,0,0,100,0,0,0,50,100,28,0,0,0,100,0,0,0,50,100,28
HealthProm,hp_12,100,0,0,100,0,100,100,0,0,44,100,0,0,100,0,100,100,0,0,44
Healthright International-Kenya,hri,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Heartland Alliance International,ha-i,0,0,0,0,0,0,0,100,100,22,0,0,0,0,0,0,0,100,100,22
Heifer International South Africa,hsa,0,0,0,0,0,0,0,100,100,22,0,0,0,100,0,0,0,100,100,33
Heifer Nederland,heifernederland,92,85,85,100,0,23,100,64,46,66,92,85,85,100,0,23,100,64,46,66
HelpAge International,helpage_international,100,0,0,99,0,0,0,32,0,26,100,0,0,99,0,0,0,32,0,26
HelpAge International UK,ageintl,100,6,6,100,6,17,78,18,0,37,100,6,6,100,6,17,78,18,0,37
Helvetas Swiss Intercooperation,hsi,0,0,0,100,0,100,100,67,100,52,0,0,0,100,0,100,100,67,100,52
HiiL innovating Justice,hiil_mfa,0,0,0,100,0,0,0,0,100,22,0,0,0,100,0,0,0,0,100,22
Hilfswerk Austria Zimbabwe,hwa-zm,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Hivos,stichting_hivos,100,0,0,38,0,24,52,0,48,29,100,0,0,38,0,24,52,0,48,29
HM Treasury,hmtfitb,0,0,0,100,0,14,0,-,0,13,0,0,0,100,0,14,0,-,0,13
Homeless International,hi,0,0,0,29,0,0,100,0,0,14,0,0,0,29,0,0,100,0,0,14
Hope and Homes for Children,hhc,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
Hope for Children,hfc,0,0,0,0,0,0,0,100,0,11,0,0,0,0,0,0,0,100,0,11
